Cluster,Name,Abbreviation,Region,Level,Tiers,Group,Available,Prereqs,Challenge,Note,Bosses
Shadows of Angmar,Great Barrow: The Maze,Maze,Bree-land,20-115,1,Fellowship,Free,,Daily,"Located in Southern Barrow-downs, see also the Great Barrow",Barrow-wight Caller; Gaerdring; Gaerthel
Shadows of Angmar,Great Barrow: Thadúr,Thadur,Bree-land,20-115,1,Fellowship,Free,,Daily,"Located in Southern Barrow-downs, see also the Great Barrow",Thadúr
Shadows of Angmar,Great Barrow: Sambrog,Sammy,Bree-land,20-115,1,Fellowship,Free,Maze and Thadúr,Daily,"Located in Southern Barrow-downs, see also the Great Barrow",Sambrog
Shadows of Angmar,Inn of the Forsaken,IoF or IotF,The Lone-lands,20-115,2,Small Fellowship,VIP/Buy,Discover[3],Daily,"Located inside the Forsaken Inn, in the basement",Umín; Spirit of the Necklace
Shadows of Angmar,Garth Agarwen: Arboretum,GA,The Lone-lands,32,1,Small Fellowship,Free,,Daily,In Garth Agarwen,Grimbark; Rot-heart
Shadows of Angmar,Garth Agarwen: Barrows,GA,The Lone-lands,32,1,Small Fellowship,Free,,Daily,In Garth Agarwen,Ivar; Blogkritar
Shadows of Angmar,Garth Agarwen: Fortress,GA,The Lone-lands,32,1,Fellowship,Free,,Daily,In Garth Agarwen,Dúnlang; Edan; Esyld; Raugzdrok; Vatar; Naruhel
Shadows of Angmar,Goblin-town Throne Room,n/a,The Misty Mountains,45,1,Fellowship,VIP/QP,,,The heart of Goblin-town,"Ashûrz; Bhoghad; Horm"
Shadows of Angmar,Fornost: Wraith of Water,Water,The North Downs,25-115,2,Fellowship,VIP/QP,,Daily,See also Fornost,Zhurmat; Shiruk; Kamordî; Megoriath
Shadows of Angmar,Fornost: Wraith of Earth,Earth,The North Downs,25-115,2,Fellowship,VIP/QP,Water,Daily,See also Fornost,Warchief Búrzghâsh; Gurkâmâb; Rhavameldir
Shadows of Angmar,Fornost: Wraith of Fire,Fire,The North Downs,25-115,2,Fellowship,VIP/QP,Earth,Daily,See also Fornost,Riamul; Zanthrug; Brogadan
Shadows of Angmar,Fornost: Wraith of Shadow,Shadow,The North Downs,25-115,2,Fellowship,VIP/QP,Fire,Daily,See also Fornost,Krithmog; Einiora; Remmenaeg
Shadows of Angmar,The Halls of Night,HoN,Angmar,40-115,2,Small Fellowship,VIP/Buy,Discover[3],Daily,East of Aughaire,Nightmare; Panic; Terror
Shadows of Angmar,Glinghant,Gling or Gardens,Evendim (Annúminas),40-115,1,Fellowship,VIP/QP,,Daily,"The former gardens of Annúminas, now corrupted by evil",Nengon
